[2018-06-30, 03:50:09.0495 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0507 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0573 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:09.0693 UTC] -> Sat, 30 Jun 2018 03:50:09 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0618 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0760 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0777 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0782 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0801 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0821 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0833 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:22.0895 UTC] -> Sat, 30 Jun 2018 03:51:22 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:23.0016 UTC] -> Sat, 30 Jun 2018 03:51:23 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0606 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0760 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0772 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0791 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0803 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0842 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0853 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:28.0891 UTC] -> Sat, 30 Jun 2018 03:51:28 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:51:29.0064 UTC] -> Sat, 30 Jun 2018 03:51:29 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:52:22.0819 UTC] -> Sat, 30 Jun 2018 03:52:22 GMT GET /403.html Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:52:23.0114 UTC] -> Sat, 30 Jun 2018 03:52:23 GMT GET /403.html Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:52:47.0671 UTC] -> Sat, 30 Jun 2018 03:52:47 GMT GET /403.html Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:52:47.0971 UTC] -> Sat, 30 Jun 2018 03:52:47 GMT GET /403.html Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
